iter	RMSE
0	164.6765043
1	161.6772413
2	159.0513043
3	156.4518966
4	154.0181954
5	151.9377652
6	149.9818426
7	148.0595291
8	146.4574454
9	145.0147735
10	143.4513267
11	142.2064661
12	140.8659182
13	139.6281517
14	138.4447581
15	137.585179
16	136.5699542
17	135.6562182
18	134.8486271
19	134.0328492
20	133.2823905
21	132.6610567
22	132.0583168
23	131.4466716
24	130.8780289
25	130.2773198
26	129.7698544
27	129.2879834
28	128.8731532
29	128.4345172
30	127.9316003
31	127.4786487
32	127.1411454
33	126.7695151
34	126.4722093
35	126.1661565
36	125.7393699
37	125.5153288
38	125.1548533
39	124.9078512
40	124.6293247
41	124.4258924
42	124.1517221
43	123.9343747
44	123.6818606
45	123.4602718
46	123.2972612
47	123.0901408
48	122.8453872
49	122.6925227
50	122.4980801
51	122.3397444
52	122.1397656
53	121.9978786
54	121.8486632
55	121.7036111
56	121.5358484
57	121.3826353
58	121.3186487
59	121.1968602
60	121.0396884
61	120.8574541
62	120.7387468
63	120.6831031
64	120.5643822
65	120.4318412
66	120.3746661
67	120.3215506
68	120.2581949
69	120.1634316
70	120.0906008
71	119.9865222
72	119.953997
73	119.797971
74	119.6981289
75	119.6346282
76	119.5673727
77	119.4589134
78	119.3752883
79	119.3263872
80	119.2080511
81	119.1834763
82	119.0847587
83	118.9455222
84	118.9104439
85	118.7930649
86	118.7668996
87	118.7500971
88	118.6686026
89	118.6263752
90	118.5610962
91	118.5099849
92	118.3990744
93	118.3210776
94	118.2565657
95	118.2237272
96	118.2098684
97	118.1857948
98	118.1494792
99	118.096836
100	118.045906
101	117.9871526
102	117.9326518
103	117.8873065
104	117.8498376
105	117.8260312
106	117.7736684
107	117.7126216
108	117.6825253
109	117.5653351
110	117.497436
111	117.4017737
112	117.3359895
113	117.2621897
114	117.2390243
115	117.1728176
116	117.0979116
117	117.065615
118	117.0327894
119	116.9634707
120	116.9304193
121	116.8759417
122	116.8518299
123	116.8427069
124	116.813144
125	116.732725
126	116.6980851
127	116.6687414
128	116.6486008
129	116.6142706
130	116.5823995
131	116.5163165
132	116.4976057
133	116.4486174
134	116.397634
135	116.3737645
136	116.3522529
137	116.3178032
138	116.2902991
139	116.2245057
140	116.1558875
141	116.1409155
142	116.0901564
143	116.0606517
144	116.0191924
145	115.9952798
146	115.9641526
147	115.8850157
148	115.8564141
149	115.8197241
150	115.7854751
151	115.737812
152	115.7159435
153	115.690752
154	115.6030489
155	115.5512377
156	115.5080846
157	115.476162
158	115.4219306
159	115.3933406
160	115.3663013
161	115.3422848
162	115.3084353
163	115.2385311
164	115.1986111
165	115.1200919
166	115.0822372
167	115.0576113
168	115.0243069
169	114.9930653
170	114.9528285
171	114.8728974
172	114.7751313
173	114.7389554
174	114.7073522
175	114.6668898
176	114.5835287
177	114.5539402
178	114.5175246
179	114.4646296
180	114.4294849
181	114.351057
182	114.3122279
183	114.272094
184	114.2343631
185	114.1938699
186	114.0848268
187	114.0458441
188	113.92707
189	113.8311213
190	113.7919688
191	113.75717
192	113.7163706
193	113.677655
194	113.6422551
195	113.605598
196	113.5677254
197	113.5319178
198	113.4946737
199	113.4585245
200	113.4220962
201	113.3870455
202	113.2963125
203	113.2573136
204	113.1553849
205	113.0991268
206	113.0628024
207	113.02463
208	112.9846556
209	112.9484335
210	112.8502436
211	112.8162894
212	112.7716151
213	112.7379885
214	112.6870602
215	112.6536967
216	112.5589828
217	112.5256002
218	112.493175
219	112.4602692
220	112.3725527
221	112.3403826
222	112.3080962
223	112.2760946
224	112.2335507
225	112.2019489
226	112.1706104
227	112.1310916
228	112.1003367
229	112.0693465
230	112.0390492
231	112.0005315
232	111.9210868
233	111.8909876
234	111.8112438
235	111.7809588
236	111.7511147
237	111.7214489
238	111.6921187
239	111.6627427
240	111.6335355
241	111.6046493
242	111.5531327
243	111.5244652
244	111.4958977
245	111.4530677
246	111.4246575
247	111.3458776
248	111.2778579
249	111.2495166
250	111.221535
251	111.1936253
252	111.1658234
253	111.1273513
254	111.100001
255	111.0513278
256	110.9760579
257	110.9486731
258	110.9213398
259	110.8941693
260	110.8255833
261	110.7985713
262	110.7718937
263	110.7452635
264	110.7089406
265	110.6824134
266	110.6560658
267	110.6298624
268	110.6037844
269	110.5778708
270	110.552038
271	110.4951935
272	110.4694483
273	110.4439186
274	110.4184809
275	110.3931532
276	110.347547
277	110.313428
278	110.2881983
279	110.2415614
280	110.17635
281	110.111256
282	110.0861343
283	110.0610637
284	110.0361309
285	110.0113648
286	109.9866288
287	109.9620983
288	109.9376232
289	109.9132676
290	109.8889859
291	109.8648106
292	109.8407794
293	109.8168446
294	109.7930019
295	109.7604949
296	109.7367651
297	109.7131165
298	109.6805396
299	109.6325884
300	109.6090817
301	109.5856627
302	109.5623264
303	109.5390786
304	109.5159017
305	109.4616217
306	109.438505
307	109.3873489
308	109.3643508
309	109.3414402
310	109.318606
311	109.2958364
312	109.2731532
313	109.2505422
314	109.2280688
315	109.1966382
316	109.1742465
317	109.1519222
318	109.1296685
319	109.085363
320	109.0631489
321	109.0410168
322	109.0189898
323	108.9970758
324	108.9752214
325	108.9534416
326	108.9317112
327	108.9100615
328	108.8884818
329	108.8670396
330	108.8456704
331	108.8243611
332	108.8031179
333	108.7706519
334	108.7494571
335	108.7283395
336	108.681539
337	108.6593247
338	108.6383892
339	108.6164655
340	108.5884424
341	108.5359486
342	108.5151157
343	108.4943283
344	108.4726551
345	108.4519746
346	108.4202497
347	108.3988343
348	108.3783422
349	108.3479282
350	108.3274835
351	108.3063909
352	108.2860577
353	108.2657537
354	108.2449244
355	108.2242591
356	108.203791
