iter	Passed	Remaining
0	154	123356
1	194	77448
2	216	57584
3	234	46583
4	249	39726
5	257	34086
6	273	30992
7	291	28833
8	308	27106
9	326	25805
10	345	24775
11	354	23311
12	372	22555
13	391	21972
14	409	21441
15	428	21019
16	448	20639
17	466	20259
18	484	19930
19	502	19612
20	521	19347
21	540	19100
22	557	18841
23	576	18640
24	594	18442
25	613	18257
26	631	18080
27	649	17901
28	667	17743
29	685	17590
30	702	17419
31	719	17260
32	736	17118
33	753	16973
34	770	16845
35	788	16726
36	805	16615
37	823	16513
38	840	16409
39	858	16306
40	876	16220
41	895	16156
42	913	16080
43	932	16021
44	951	15962
45	969	15898
46	987	15826
47	1005	15755
48	1026	15732
49	1045	15679
50	1063	15612
51	1081	15557
52	1098	15488
53	1116	15427
54	1134	15364
55	1151	15297
56	1168	15235
57	1186	15180
58	1203	15113
59	1220	15058
60	1238	15006
61	1256	14951
62	1273	14896
63	1291	14857
64	1310	14813
65	1327	14759
66	1344	14704
67	1349	14525
68	1367	14486
69	1385	14451
70	1403	14415
71	1421	14372
72	1439	14332
73	1457	14295
74	1477	14279
75	1496	14253
76	1514	14223
77	1534	14203
78	1552	14171
79	1571	14142
80	1590	14117
81	1603	14042
82	1616	13960
83	1634	13928
84	1651	13889
85	1668	13852
86	1685	13814
87	1692	13692
88	1710	13663
89	1727	13631
90	1744	13592
91	1762	13562
92	1780	13536
93	1798	13509
94	1816	13481
95	1835	13461
96	1840	13342
97	1858	13310
98	1876	13286
99	1894	13262
100	1912	13238
101	1930	13210
102	1949	13194
103	1970	13186
104	1983	13130
105	2002	13108
106	2021	13094
107	2041	13079
108	2059	13054
109	2076	13027
110	2094	13003
111	2112	12979
112	2132	12963
113	2151	12947
114	2170	12926
115	2189	12911
116	2208	12895
117	2227	12876
118	2247	12862
119	2266	12842
120	2285	12822
121	2304	12806
122	2322	12783
123	2326	12684
124	2343	12657
125	2364	12650
126	2384	12637
127	2404	12624
128	2430	12641
129	2458	12672
130	2492	12727
131	2515	12729
132	2525	12663
133	2544	12644
134	2565	12638
135	2586	12630
136	2608	12622
137	2627	12604
138	2646	12587
139	2667	12577
140	2688	12565
141	2707	12546
142	2726	12525
143	2745	12505
144	2764	12488
145	2782	12466
146	2801	12446
147	2820	12424
148	2837	12398
149	2855	12372
150	2873	12351
151	2891	12326
152	2910	12306
153	2929	12287
154	2947	12263
155	2964	12238
156	2982	12213
157	2999	12188
158	3017	12164
159	3034	12138
160	3052	12114
161	3069	12088
162	3086	12062
163	3104	12037
164	3122	12017
165	3140	11995
166	3158	11972
167	3176	11951
168	3196	11934
169	3213	11910
170	3231	11888
171	3249	11865
172	3267	11843
173	3284	11817
174	3302	11793
175	3320	11771
176	3337	11745
177	3354	11723
178	3372	11701
179	3390	11678
180	3408	11656
181	3426	11636
182	3444	11614
183	3462	11590
184	3479	11567
185	3496	11543
186	3514	11519
187	3532	11498
188	3549	11474
189	3567	11453
190	3585	11431
191	3603	11411
192	3621	11391
193	3640	11372
194	3661	11358
195	3680	11342
196	3703	11336
197	3724	11325
198	3748	11319
199	3766	11298
200	3785	11280
201	3804	11261
202	3823	11245
203	3842	11225
204	3860	11203
205	3878	11182
206	3896	11161
207	3914	11141
208	3932	11121
